"# Channel 1"
"# Trace 1"
Power, Formatted Data, Formatted Data
-3.10000000000E+001, +1.48940058019E+001, +0.00000000000E+000
-3.08000000000E+001, +1.48745304449E+001, +0.00000000000E+000
-3.06000000000E+001, +1.48598137377E+001, +0.00000000000E+000
-3.04000000000E+001, +1.48774221989E+001, +0.00000000000E+000
-3.02000000000E+001, +1.48550307624E+001, +0.00000000000E+000
-3.00000000000E+001, +1.48686040946E+001, +0.00000000000E+000
-2.98000000000E+001, +1.48874449200E+001, +0.00000000000E+000
-2.96000000000E+001, +1.48683734688E+001, +0.00000000000E+000
-2.94000000000E+001, +1.48595911538E+001, +0.00000000000E+000
-2.92000000000E+001, +1.48434974174E+001, +0.00000000000E+000
-2.90000000000E+001, +1.48444889081E+001, +0.00000000000E+000
-2.88000000000E+001, +1.48527183739E+001, +0.00000000000E+000
-2.86000000000E+001, +1.48596573873E+001, +0.00000000000E+000
-2.84000000000E+001, +1.48441884518E+001, +0.00000000000E+000
-2.82000000000E+001, +1.48403096560E+001, +0.00000000000E+000
-2.80000000000E+001, +1.48534371913E+001, +0.00000000000E+000
-2.78000000000E+001, +1.48430089493E+001, +0.00000000000E+000
-2.76000000000E+001, +1.48477118899E+001, +0.00000000000E+000
-2.74000000000E+001, +1.48556383142E+001, +0.00000000000E+000
-2.72000000000E+001, +1.48651306477E+001, +0.00000000000E+000
-2.70000000000E+001, +1.48347396458E+001, +0.00000000000E+000
-2.68000000000E+001, +1.48487700957E+001, +0.00000000000E+000
-2.66000000000E+001, +1.48410946529E+001, +0.00000000000E+000
-2.64000000000E+001, +1.48604443246E+001, +0.00000000000E+000
-2.62000000000E+001, +1.48453861382E+001, +0.00000000000E+000
-2.60000000000E+001, +1.48478383995E+001, +0.00000000000E+000
-2.58000000000E+001, +1.48489491961E+001, +0.00000000000E+000
-2.56000000000E+001, +1.48414810379E+001, +0.00000000000E+000
-2.54000000000E+001, +1.48471436477E+001, +0.00000000000E+000
-2.52000000000E+001, +1.48354253201E+001, +0.00000000000E+000
-2.50000000000E+001, +1.48178614983E+001, +0.00000000000E+000
-2.48000000000E+001, +1.48312911683E+001, +0.00000000000E+000
-2.46000000000E+001, +1.48339558540E+001, +0.00000000000E+000
-2.44000000000E+001, +1.48393976708E+001, +0.00000000000E+000
-2.42000000000E+001, +1.48422834303E+001, +0.00000000000E+000
-2.40000000000E+001, +1.48317329017E+001, +0.00000000000E+000
-2.38000000000E+001, +1.48295528202E+001, +0.00000000000E+000
-2.36000000000E+001, +1.48264811154E+001, +0.00000000000E+000
-2.34000000000E+001, +1.48354384364E+001, +0.00000000000E+000
-2.32000000000E+001, +1.48170162439E+001, +0.00000000000E+000
